
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005496                       # Number of seconds simulated (Second)
simTicks                                   5496431500                       # Number of ticks simulated (Tick)
finalTick                                  5496431500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    146.40                       # Real time elapsed on the host (Second)
hostTickRate                                 37544870                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1198756                       # Number of bytes of host memory used (Byte)
simInsts                                     19928472                       # Number of instructions simulated (Count)
simOps                                       35336505                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   136127                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     241375                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         10992864                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        35868638                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       34                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       35723226                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1307                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               532161                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            627474                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  16                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            10886674                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.281372                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.002560                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    940303      8.64%      8.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1239457     11.39%     20.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1349348     12.39%     32.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3186238     29.27%     61.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   1366088     12.55%     74.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1305286     11.99%     86.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    770336      7.08%     93.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    223383      2.05%     95.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    506235      4.65%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              10886674                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  139288     79.09%     79.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     79.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     79.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     79.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     79.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     79.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     79.09% # attempts to use FU when none available (Count)
